id,raw_path,n_points,lambda1,lambda2,lambda3,r1,r2,r3,ratio12,ratio23,trace,proj_hist_bin_0,proj_hist_bin_1,proj_hist_bin_2,proj_hist_bin_3,proj_hist_bin_4,proj_hist_bin_5,proj_hist_bin_6,proj_hist_bin_7
Buche_Jerome_Bu95_SEW36,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Buche\Jerome_Bu95_SEW36.xyz,1024,0.11550293862819672,0.015560870058834553,0.007436172105371952,0.8339563608169556,0.1123528704047203,0.05369077995419502,7.422652721405029,2.0925915241241455,0.13849997520446777,0.291015625,0.2578125,0.34375,0.0400390625,0.0029296875,0.00390625,0.044921875,0.015625
Douglasie_31_12,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_12.txt,1024,0.06188105419278145,0.014206609688699245,0.008965292945504189,0.7275590896606445,0.16703252494335175,0.10540836304426193,4.355792999267578,1.5846229791641235,0.0850529596209526,0.416015625,0.2802734375,0.1259765625,0.087890625,0.0419921875,0.025390625,0.009765625,0.0126953125
Douglasie_31_14,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_14.txt,1024,0.05744322016835213,0.00991998240351677,0.004431399051100016,0.8001050353050232,0.1381717026233673,0.061723291873931885,5.7906575202941895,2.2385666370391846,0.07179460674524307,0.4970703125,0.2578125,0.099609375,0.0634765625,0.0341796875,0.0185546875,0.01171875,0.017578125
Douglasie_31_15,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_15.txt,1024,0.048391908407211304,0.005724276881664991,0.0026468918658792973,0.8525243997573853,0.10084507614374161,0.04663052037358284,8.453803062438965,2.1626410484313965,0.05676307529211044,0.2705078125,0.271484375,0.1611328125,0.130859375,0.095703125,0.046875,0.0126953125,0.0107421875
Douglasie_31_11,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_11.txt,1024,0.049033425748348236,0.007640627678483725,0.005887044593691826,0.7837686538696289,0.12213065475225449,0.094100721180439,6.4174604415893555,1.2978715896606445,0.06256109476089478,0.51171875,0.2431640625,0.0888671875,0.068359375,0.0322265625,0.01953125,0.015625,0.0205078125
Douglasie_31_20,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_20.txt,1024,0.11427301168441772,0.005194834899157286,0.004342299420386553,0.9229696989059448,0.041958071291446686,0.035072240978479385,21.99742889404297,1.1963326930999756,0.12381014972925186,0.294921875,0.220703125,0.171875,0.1298828125,0.0654296875,0.0478515625,0.04296875,0.0263671875
Douglasie_31_21,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_21.txt,1024,0.08413368463516235,0.009227926842868328,0.005181248299777508,0.8537775874137878,0.09364378452301025,0.052578628063201904,9.117290496826172,1.7810238599777222,0.09854286164045334,0.2705078125,0.2763671875,0.2587890625,0.0908203125,0.0478515625,0.02734375,0.0126953125,0.015625
Douglasie_31_23,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_23.txt,1024,0.07667254656553268,0.008578537032008171,0.006490111351013184,0.8357483148574829,0.09350801259279251,0.07074370235204697,8.937718391418457,1.3217856884002686,0.09174119681119919,0.185546875,0.228515625,0.2265625,0.185546875,0.130859375,0.033203125,0.005859375,0.00390625
Douglasie_31_25,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_25.txt,1024,0.06600417196750641,0.009984279051423073,0.008164795115590096,0.7843330502510071,0.11864401400089264,0.09702294319868088,6.610809803009033,1.2228449583053589,0.08415324240922928,0.41796875,0.2646484375,0.154296875,0.08203125,0.0419921875,0.025390625,0.005859375,0.0078125
Douglasie_31_26,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_26.txt,1024,0.08969809859991074,0.0056246425956487656,0.0036704442463815212,0.906103789806366,0.056818485260009766,0.03707774728536606,15.947340965270996,1.5324146747589111,0.09899318218231201,0.15625,0.162109375,0.2431640625,0.1943359375,0.12890625,0.0791015625,0.017578125,0.0185546875
